,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all
Good Days,1,-0.616,0.054,-0.31,-0.238,-0.199,-0.398
Unhealthy Days,-0.616,1,-0.024,0.343,0.174,0.015,0.469
Days NO2,0.054,-0.024,1,-0.108,-0.069,0.013,0.284
Number_fires,-0.31,0.343,-0.108,1,0.933,0.736,0.166
Length,-0.238,0.174,-0.069,0.933,1,0.853,0.101
Area,-0.199,0.015,0.013,0.736,0.853,1,0.106
Visits_all,-0.398,0.469,0.284,0.166,0.101,0.106,1
,,,,,,,
2013,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all
Good Days,1,-0.644,-0.112,-0.349,-0.201,0.071,-0.425
Unhealthy Days,-0.644,1,0.144,0.569,0.454,0.057,0.457
Days NO2,-0.112,0.144,1,-0.079,-0.112,-0.073,0.373
Number_fires,-0.349,0.569,-0.079,1,0.757,0.327,0.279
Length,-0.201,0.454,-0.112,0.757,1,0.543,0.142
Area,0.071,0.057,-0.073,0.327,0.543,1,0.062
Visits_all,-0.425,0.457,0.373,0.279,0.142,0.062,1
,,,,,,,
2014,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all
Good Days,1,-0.636,0.109,-0.07,0.051,0.208,-0.392
Unhealthy Days,-0.636,1,-0.008,0.1,0.064,-0.059,0.427
Days NO2,0.109,-0.008,1,-0.129,-0.148,-0.089,0.307
Number_fires,-0.07,0.1,-0.129,1,0.731,0.532,0.009
Length,0.051,0.064,-0.148,0.731,1,0.754,-0.097
Area,0.208,-0.059,-0.089,0.532,0.754,1,-0.079
Visits_all,-0.392,0.427,0.307,0.009,-0.097,-0.079,1
,,,,,,,
2015,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all
Good Days,1,-0.627,0.037,-0.268,-0.253,-0.088,-0.391
Unhealthy Days,-0.627,1,0.133,0.234,0.082,0.087,0.623
Days NO2,0.037,0.133,1,-0.106,-0.148,-0.105,0.364
Number_fires,-0.268,0.234,-0.106,1,0.632,0.54,0.253
Length,-0.253,0.082,-0.148,0.632,1,0.838,-0.038
Area,-0.088,0.087,-0.105,0.54,0.838,1,-0.033
Visits_all,-0.391,0.623,0.364,0.253,-0.038,-0.033,1
,,,,,,,
2016,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all
Good Days,1,-0.553,-0.111,-0.293,0.002,-0.076,-0.412
Unhealthy Days,-0.553,1,0.285,0.452,0.316,0.303,0.419
Days NO2,-0.111,0.285,1,-0.014,-0.05,0.07,0.534
Number_fires,-0.293,0.452,-0.014,1,0.782,0.711,0.338
Length,0.002,0.316,-0.05,0.782,1,0.72,0.127
Area,-0.076,0.303,0.07,0.711,0.72,1,0.236
Visits_all,-0.412,0.419,0.534,0.338,0.127,0.236,1
