,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all,
Good Days,0,0,0.699,0.023,0.083,0.15,0.003,
Unhealthy Days,0,0,0.865,0.011,0.208,0.916,0,
Days NO2,0.699,0.865,0,0.435,0.618,0.924,0.037,
Number_fires,0.023,0.011,0.435,0,0,0,0.229,
Length,0.083,0.208,0.618,0,0,0,0.467,
Area,0.15,0.916,0.924,0,0,0,0.445,
Visits_all,0.003,0,0.037,0.229,0.467,0.445,0,
2013,,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all,
Good Days,0,0,0.42,0.01,0.145,0.612,0.001,
Unhealthy Days,0,0,0.3,0,0.001,0.68,0.001,
Days NO2,0.42,0.3,0,0.571,0.422,0.602,0.005,
Number_fires,0.01,0,0.571,0,0,0.016,0.041,
Length,0.145,0.001,0.422,0,0,0,0.306,
Area,0.612,0.68,0.602,0.016,0,0,0.657,
Visits_all,0.001,0.001,0.005,0.041,0.306,0.657,0,
2014,,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all,
Good Days,0,0,0.435,0.613,0.716,0.132,0.003,
Unhealthy Days,0,0,0.956,0.473,0.646,0.672,0.001,
Days NO2,0.435,0.956,0,0.353,0.285,0.523,0.024,
Number_fires,0.613,0.473,0.353,0,0,0,0.948,
Length,0.716,0.646,0.285,0,0,0,0.487,
Area,0.132,0.672,0.523,0,0,0,0.569,
Visits_all,0.003,0.001,0.024,0.948,0.487,0.569,0,
2015,,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all,
Good Days,0,0,0.79,0.05,0.064,0.527,0.003,
Unhealthy Days,0,0,0.336,0.089,0.553,0.532,0,
Days NO2,0.79,0.336,0,0.447,0.286,0.449,0.007,
Number_fires,0.05,0.089,0.447,0,0,0,0.064,
Length,0.064,0.553,0.286,0,0,0,0.787,
Area,0.527,0.532,0.449,0,0,0,0.811,
Visits_all,0.003,0,0.007,0.064,0.787,0.811,0,
2016,,,,,,,,
,Good Days,Unhealthy Days,Days NO2,Number_fires,Length,Area,Visits_all,
Good Days,0,0,0.422,0.032,0.989,0.586,0.002,
Unhealthy Days,0,0,0.037,0.001,0.02,0.026,0.002,
Days NO2,0.422,0.037,0,0.918,0.722,0.615,0,
Number_fires,0.032,0.001,0.918,0,0,0,0.012,
Length,0.989,0.02,0.722,0,0,0,0.362,
Area,0.586,0.026,0.615,0,0,0,0.085,
Visits_all,0.002,0.002,0,0.012,0.362,0.085,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
