visits all 2012,Estimate,Std. Error,t value,Pr(>|t|),fires            2012,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),3712.93,3008.08,1.23,0.22,(Intercept),-0.07,0.21,-0.34,0.73
`Good Days`,-13.19,12.14,-1.09,0.28,`Good Days`,0,0,0.36,0.72
`Unhealthy Days`,193.19,89.13,2.17,0.04,`Unhealthy Days`,0.02,0.01,2.79,0.01
`Days NO2`,154.46,63.74,2.42,0.02,`Days NO2`,0,0,-0.8,0.43
Number_fires,560.35,2117.98,0.26,0.79,Length,0.23,0.02,11.17,0
Length,-321.46,581.9,-0.55,0.58,Area,0,0,-1.35,0.18
Area,0.26,0.32,0.83,0.41,Visits_all,0,0,0.26,0.79
2013,,,,,2013,,,,
(Intercept),3812.44,2926.97,1.3,0.2,(Intercept),3812.44,2926.97,1.3,0.2
`Good Days`,-16.62,12.19,-1.36,0.18,`Good Days`,-16.62,12.19,-1.36,0.18
`Unhealthy Days`,166.3,123.59,1.35,0.18,`Unhealthy Days`,166.3,123.59,1.35,0.18
`Days NO2`,211.1,80.6,2.62,0.01,`Days NO2`,211.1,80.6,2.62,0.01
Number_fires,1156.27,1158.28,1,0.32,Number_fires,1156.27,1158.28,1,0.32
Length,-46.19,49.99,-0.92,0.36,Length,-46.19,49.99,-0.92,0.36
Area,0.03,0.03,0.87,0.39,Area,0.03,0.03,0.87,0.39
2014,,,,,2014,,,,
(Intercept),5326.81,2982.17,1.79,0.08,(Intercept),0.76,0.44,1.73,0.09
`Good Days`,-20.17,12.41,-1.63,0.11,`Good Days`,0,0,-0.77,0.44
`Unhealthy Days`,181.41,102.95,1.76,0.08,`Unhealthy Days`,-0.01,0.02,-0.34,0.74
`Days NO2`,192.55,71.47,2.69,0.01,`Days NO2`,0,0.01,-0.26,0.79
Number_fires,559.3,995.87,0.56,0.58,Length,0.03,0.01,4.87,0
Length,-52.95,51.41,-1.03,0.31,Area,0,0,-0.07,0.94
Area,0.03,0.04,0.77,0.45,Visits_all,0,0,0.56,0.58
2015,,,,,2015,,,,
(Intercept),807.72,2755.54,0.29,0.77,(Intercept),0.42,0.48,0.87,0.39
`Good Days`,-5.59,10.93,-0.51,0.61,`Good Days`,0,0,0.2,0.84
`Unhealthy Days`,393.87,111.82,3.52,0,`Unhealthy Days`,0,0.02,0.07,0.94
`Days NO2`,177.85,61.61,2.89,0.01,`Days NO2`,-0.01,0.01,-1.19,0.24
Number_fires,1832.91,792.48,2.31,0.03,Length,0.02,0.01,2.89,0.01
Length,-41.07,40.69,-1.01,0.32,Area,0,0,0.15,0.88
Area,-0.01,0.04,-0.17,0.86,Visits_all,0,0,2.31,0.03
2016,,,,,2016,,,,
(Intercept),3835.99,2681.34,1.43,0.16,(Intercept),1.11,0.42,2.64,0.01
`Good Days`,-16.92,10.28,-1.64,0.11,`Good Days`,0,0,-1.88,0.07
`Unhealthy Days`,19.08,110.62,0.17,0.86,`Unhealthy Days`,0.01,0.02,0.67,0.5
`Days NO2`,344.99,78.34,4.4,0,`Days NO2`,-0.02,0.01,-1.56,0.13
Number_fires,1622.48,859.16,1.89,0.07,Length,0.02,0,5.04,0
Length,-30.6,33.05,-0.93,0.36,Area,0,0,2.27,0.03
Area,0.01,0.05,0.21,0.83,Visits_all,0,0,1.89,0.07
